Seconds	O2	CO2	BP	WVP	FlowRate	Temp	Marker
316	-7.51E-02	0.0952749	98.08838	2.501132	153.9867	25.48086	-1
317	-0.0719738	9.43E-02	98.07337	2.50332	153.9117	25.47305	-1
318	-7.35E-02	9.11E-02	98.10712	2.502382	153.9305	25.47617	-1
319	-6.81E-02	9.04E-02	98.06212	2.502382	154.2492	25.47461	-1
320	-6.81E-02	9.15E-02	98.11837	2.503632	154.2617	25.47148	-1
321	-7.43E-02	8.65E-02	98.11837	2.503632	154.0742	25.47305	-1
322	-7.28E-02	8.92E-02	98.06962	2.503945	154.1555	25.46992	-1
323	-7.04E-02	8.53E-02	98.09962	2.505195	154.2805	25.47617	-1
324	-6.18E-02	8.53E-02	98.08838	2.504257	154.2305	25.48398	-1
325	-7.20E-02	8.70E-02	98.09962	2.504882	154.0805	25.47617	-1
326	-0.0594902	7.96E-02	98.05463	2.505507	154.2617	25.47461	-1
327	-6.26E-02	8.14E-02	98.09587	2.506445	154.2992	25.46992	-1
328	-7.20E-02	0.0833995	98.11087	2.508632	154.1555	25.48242	-1
329	-6.18E-02	8.23E-02	98.08087	2.506132	154.093	25.47461	-1
330	-5.95E-02	8.15E-02	98.10338	2.50707	154.2992	25.46367	-1
331	-6.81E-02	0.0796494	98.07337	2.508007	154.1742	25.46992	-1
332	-5.79E-02	7.51E-02	98.11837	2.507382	153.9492	25.46992	-1
333	-6.97E-02	7.75E-02	98.06962	2.50707	154.0117	25.47773	-1
334	-6.50E-02	7.37E-02	98.05836	2.50832	153.968	25.47305	-1
335	-5.95E-02	7.78E-02	98.05087	2.50832	153.8117	25.46679	-1
336	-6.50E-02	7.17E-02	98.08463	2.50707	153.6555	25.46836	-1
337	-6.73E-02	7.21E-02	98.09212	2.507695	153.8867	25.46992	-1
338	-5.56E-02	7.12E-02	98.12962	2.508007	153.9867	25.47305	-1
339	-5.40E-02	7.39E-02	98.08087	2.507695	153.9992	25.46836	-1
340	-6.42E-02	0.0676178	98.11087	2.50832	154.2367	25.46055	-1
341	-5.56E-02	6.95E-02	98.02462	2.50832	154.268	25.46836	-1
342	-5.56E-02	6.70E-02	98.05836	2.508632	154.1555	25.47617	-1
343	-5.40E-02	6.93E-02	98.08838	2.508007	154.0055	25.47305	-1
344	-6.97E-02	6.56E-02	98.14087	2.50707	154.193	25.47461	-1
345	-5.95E-02	6.46E-02	98.03963	2.509882	154.1367	25.47148	-1
346	-5.09E-02	6.84E-02	98.09962	2.508632	153.9992	25.49023	-1
347	-5.95E-02	6.20E-02	98.08463	2.507695	153.893	25.49179	-1
